name;overlays_count;width;heigh;doors_count;poligons_count;actors_count;ambients_count;animations_count;automap_count;containers_count;doors_count;entrances_count;items_count;regions_count;spawn_points_count;tiled_object_count;tiled_object_flags_count;variables_count;verticles_count
AR4001;1;10;8;1;19;2;1;0;0;10;1;1;19;1;0;0;0;0;81
AR4100;1;51;41;24;236;84;6;1;0;12;24;4;23;29;0;0;0;0;5666
AR4101;1;59;46;28;966;138;2;1;0;28;28;6;64;34;0;0;0;0;1108
AR4102;1;60;46;33;843;111;1;11;0;32;33;6;106;98;0;0;0;0;1655
AR4103;1;60;46;33;843;51;1;1;0;28;33;1;28;77;0;0;0;0;1485
AR5000;1;43;29;0;91;59;9;2;0;1;0;4;6;3;0;0;0;0;19
AR5001;1;47;23;0;30;49;4;0;0;0;0;25;0;5;0;0;0;0;47
AR5002;1;10;9;1;27;3;3;1;0;1;1;1;2;11;0;0;0;0;122
AR5004;1;59;36;1;91;90;6;16;0;3;21;3;15;5;0;0;0;0;1897
AR5005;1;22;19;0;60;12;5;0;0;0;0;3;0;3;0;0;0;0;25
AR5010;1;14;15;0;27;11;4;0;0;0;0;6;0;4;0;0;0;0;19
AR5011;1;16;13;4;21;1;4;0;0;1;3;3;3;11;0;0;0;0;117
AR5012;1;14;12;3;35;1;5;0;0;0;2;4;0;6;0;0;0;0;70
AR5013;1;14;12;3;35;1;5;0;0;0;2;1;0;5;0;0;0;0;64
AR5014;1;14;12;3;35;1;5;0;0;0;2;1;0;7;0;0;0;0;76
AR5015;1;19;18;2;62;16;4;0;0;0;1;5;0;10;0;0;0;0;107
AR5016;1;15;11;4;35;7;4;0;0;0;3;4;0;5;0;0;0;0;85
AR5017;1;16;10;2;23;1;4;0;0;1;1;6;1;5;0;0;0;0;49
AR5018;1;16;10;2;23;1;4;0;0;0;1;1;0;4;0;0;0;0;38
AR5019;1;16;10;2;23;1;4;0;0;0;1;1;0;4;0;0;0;0;38
AR5020;1;17;12;0;17;13;4;0;0;0;0;1;0;7;0;0;0;0;37
AR5021;1;16;14;3;21;1;5;0;0;0;2;5;0;7;0;0;0;0;79
AR5022;1;16;14;3;21;1;5;0;0;0;2;1;0;6;0;0;0;0;73
AR5023;1;16;14;3;21;1;5;0;0;0;2;1;0;6;0;0;0;0;73
AR5024;1;17;10;0;18;11;4;0;0;0;0;2;0;8;0;0;0;0;43
AR5025;1;16;14;0;20;6;4;0;0;1;0;2;2;5;0;0;0;0;32
AR5026;1;16;17;3;64;1;4;0;0;0;2;7;0;7;0;0;0;0;89
AR5027;1;16;17;3;64;1;4;0;0;0;2;1;0;7;0;0;0;0;89
AR5028;1;16;17;3;64;1;4;0;0;0;2;1;0;5;0;0;0;0;77
AR5029;1;16;17;3;64;1;4;0;0;0;2;1;0;6;0;0;0;0;83
AR5030;1;17;18;0;85;5;4;0;0;1;0;2;4;9;0;0;0;0;51
AR5100;1;22;15;3;7;13;5;0;0;5;2;2;20;2;0;0;0;0;108
AR5101;1;55;35;18;364;185;5;0;0;14;18;4;44;25;0;0;0;0;1096
AR5102;1;33;23;5;98;19;6;24;0;0;5;3;0;8;0;0;0;0;157
AR5200;1;50;30;3;20;31;5;0;0;1;2;5;2;7;0;0;0;0;103
AR5201;1;33;24;6;169;50;5;7;0;18;6;2;34;7;0;0;0;0;237
AR5202;1;43;31;26;102;25;8;17;0;9;26;2;120;36;0;0;0;0;914
AR5203;1;39;27;2;44;30;2;34;0;1;2;3;5;2;0;0;0;0;130
AR5300;1;60;45;4;764;111;5;34;0;11;4;7;38;27;0;0;0;0;525
AR5301;1;60;45;14;266;64;3;33;0;6;14;3;10;37;0;0;0;0;597
AR5302;1;60;45;2;512;74;5;12;0;17;2;4;27;31;0;0;0;0;386
AR5303;1;24;18;2;53;20;4;3;0;0;2;2;0;2;0;0;0;0;104
AR6000;1;60;30;2;288;69;8;0;0;0;2;7;0;16;0;0;0;0;240
AR6001;1;60;45;7;149;94;6;2;0;0;7;9;0;28;0;0;0;0;474
AR6002;1;30;20;2;93;21;3;0;0;0;1;2;0;28;0;0;0;0;186
AR6003;1;14;11;1;7;15;2;0;0;1;1;1;5;2;0;0;0;0;60
AR6004;1;8;7;0;32;1;1;0;0;0;0;1;0;2;0;0;0;0;14
AR6005;1;6;7;0;19;0;1;0;0;1;0;2;4;3;0;0;0;0;36
AR6006;1;7;8;0;17;0;1;0;0;1;0;1;3;1;0;0;0;0;14
AR6007;1;10;7;0;28;2;1;0;0;1;0;1;2;5;0;0;0;0;72
AR6008;1;7;10;0;8;2;1;0;0;0;0;2;0;2;0;0;0;0;14
AR6009;1;6;8;0;7;2;1;0;0;1;0;1;1;3;0;0;0;0;41
AR6010;1;9;8;0;22;1;2;0;0;3;0;1;3;3;0;0;0;0;40
AR6050;1;41;31;11;432;32;6;1;0;1;9;2;2;14;0;0;0;0;615
AR6051;1;60;45;49;906;70;3;120;0;15;50;1;53;19;0;0;0;0;1531
AR6100;1;20;15;0;12;20;6;0;0;0;0;2;0;13;0;0;0;0;72
AR6101;1;60;45;5;334;112;8;68;0;10;4;3;38;27;0;0;0;0;666
AR6102;1;60;45;4;279;66;7;85;0;19;3;3;73;37;0;0;0;0;822
AR6103;1;60;45;11;269;138;7;6;0;36;15;4;98;35;0;0;0;0;1056
AR6104;1;60;45;15;104;136;4;41;0;7;15;3;38;31;0;0;0;0;1730
AR6200;1;60;45;3;292;127;10;2;0;10;3;3;38;24;0;0;0;0;822
AR6201;1;28;27;1;132;23;3;1;0;4;1;3;18;5;0;0;0;0;204
AR6300;1;21;14;0;31;11;4;3;0;1;0;2;1;2;0;0;0;0;21
AR6301;1;46;37;5;490;57;1;66;0;4;4;4;10;4;0;0;0;0;191
AR6302;1;50;37;5;654;62;1;60;0;15;4;3;26;6;0;0;0;0;322
AR6303;1;45;35;7;410;55;1;81;0;4;6;2;5;16;0;0;0;0;503
AR6304;1;45;35;0;602;45;1;33;0;7;0;5;13;11;0;0;0;0;210
AR6305;1;45;35;7;410;28;1;81;0;4;6;2;5;7;0;0;0;0;446
AR6400;1;15;14;1;5;0;3;5;0;0;0;2;0;12;0;0;0;0;93
AR6401;1;20;17;7;66;7;4;3;0;2;6;2;2;7;0;0;0;0;257
AR6402;1;16;15;0;44;3;1;2;0;5;0;2;3;2;0;0;0;0;44
AR6403;1;17;14;0;97;2;1;4;0;2;0;1;1;8;0;0;0;0;130
AR6500;1;20;18;2;26;27;2;5;0;0;1;2;0;7;0;0;0;0;43
AR6501;1;19;18;0;30;12;4;8;0;1;0;2;6;4;0;0;0;0;93
AR6502;1;20;18;0;77;19;3;11;0;2;0;2;10;2;0;0;0;0;39
AR6503;1;20;17;7;106;9;2;2;0;6;6;2;44;2;0;0;0;0;218
AR6600;1;20;18;2;123;16;3;13;0;1;1;2;7;2;0;0;0;0;82
AR6601;1;20;18;0;81;11;3;14;0;2;0;2;6;2;0;0;0;0;35
AR6602;1;20;18;0;70;0;1;13;0;6;0;2;16;2;0;0;0;0;78
AR6603;1;15;14;2;5;3;7;0;0;1;1;1;6;2;0;0;0;0;62
AR6700;1;19;16;4;90;14;5;6;0;1;3;2;4;2;0;0;0;0;148
AR6701;1;14;12;0;43;12;6;7;0;2;0;2;7;3;0;0;0;0;48
AR6702;1;15;13;3;80;14;2;5;0;5;3;3;35;3;0;0;0;0;171
AR6703;1;15;14;0;35;12;4;12;0;0;0;1;0;1;0;0;0;0;8
AR6800;1;17;13;0;31;0;3;0;0;0;0;2;0;2;0;0;0;0;8
