id;name;ac;hp;bab;attacks;color_metal;color_minor;color_major;color_skin;color_leather;color_armor;color_hair;str;dex;con;int;wis;cha;race
00SCRD;Creeping Doom;15;175;14;2;30;37;57;12;23;28;0;12;20;12;9;9;9;255
00SCRN;Cornugon;24;82;10;3;30;37;57;12;23;28;0;21;12;17;14;14;14;164
00SCYC;Cyclops;16;102;0;0;30;37;57;12;23;28;0;25;8;19;6;10;17;153
00SDBER;Dire Bear;16;120;8;3;0;0;55;0;0;0;0;31;13;19;3;12;6;103
00SDCRN;Cornugon;25;40;15;3;30;37;57;12;23;28;0;21;12;17;14;14;14;164
00SDCYC;Cyclops;16;40;0;0;30;37;57;12;23;28;0;25;8;19;6;10;17;153
00SDFGNT;Frost Giant;21;53;0;0;30;37;57;12;23;28;0;29;9;21;10;10;10;153
00SDGLB;Glabrezu;24;42;9;4;30;37;57;12;23;28;0;25;10;19;16;16;16;164
00SDGWLF;Greater Werewolf;18;48;0;0;30;37;84;12;23;28;0;18;16;16;10;10;10;117
00SDHRP;Greater Feyr;24;50;15;4;30;37;88;15;23;28;0;16;19;15;14;18;3;255
00SDJI;Djinni;12;45;0;0;30;37;57;14;23;28;0;18;19;14;14;15;15;175
00SDND;Drowned Dead;20;96;0;0;30;37;57;12;23;28;0;22;16;18;9;9;9;167
00SDOG;Dog;12;10;1;1;30;37;57;12;23;28;0;13;17;15;3;12;6;255
00SDRABA;Red Abishai;18;24;0;0;30;37;57;12;23;28;0;17;17;17;12;14;16;164
00SDRAT;Dire Rat;12;7;4;1;30;37;57;12;23;28;0;10;17;12;3;12;4;255
00SDREM;Remorhaz;19;48;0;0;30;37;57;12;23;28;0;26;13;21;5;12;10;255
00SDSAL;Salamander;17;20;7;2;30;37;50;12;23;28;0;14;13;12;14;15;13;161
00SDSCG;Scrag;12;25;0;0;30;37;57;12;23;28;0;23;14;23;6;9;6;165
00SDUHK;Umber Hulk;16;27;0;0;30;37;80;12;23;28;0;23;13;19;9;11;13;166
00SDWLF;Dire Wolf;14;60;3;2;30;37;57;12;23;28;0;25;15;17;3;12;10;117
00SDYET;Yeti;17;22;9;2;30;37;71;12;23;28;0;20;12;16;8;10;11;189
00SEAR04;Lesser Earth Elemental;19;30;3;1;30;37;57;14;23;28;0;21;8;17;4;11;11;152
00SEAR12;Earth Elemental;19;68;6;2;30;37;57;14;23;28;0;25;8;19;6;11;11;152
00SEAR16;Earth Elemental;19;152;10;3;30;37;57;14;23;28;0;29;8;21;6;11;11;152
00SEAR20;Greater Earth Elemental;21;199;13;3;30;37;57;14;23;28;0;31;8;21;6;11;11;152
00SEAR24;Elder Earth Elemental;23;228;16;4;30;37;57;14;23;28;0;33;8;21;6;11;11;152
00SEFRET;Efreeti;17;68;0;0;30;37;57;14;23;28;0;23;17;14;12;15;15;175
00SEGBGD;Elite Greater Boneguard;20;84;14;3;30;37;57;14;23;28;0;20;18;18;9;9;9;115
00SELZDS;Elite Lizardman;14;33;0;0;30;37;57;12;23;28;0;13;10;13;9;10;10;157
00SENORO;Elite Neo Orog;15;24;0;0;30;37;57;12;23;28;0;16;12;14;10;10;10;160
00SETN;Ettin;18;65;0;0;30;37;40;12;23;28;0;23;8;15;6;10;11;153
00SFDND;Festering Drowned Dead;25;136;15;2;30;37;57;12;23;28;0;30;18;18;9;9;9;167
00SFIR04;Lesser Fire Elemental;13;26;5;1;30;37;57;14;23;28;0;12;17;14;4;11;11;152
00SFIR12;Fire Elemental;13;60;8;2;30;37;57;14;23;28;0;14;21;16;6;11;11;152
00SFIR16;Fire Elemental;12;136;13;3;30;37;57;14;23;28;0;18;25;18;6;11;11;152
00SFIR20;Greater Fire Elemental;16;178;16;3;30;37;57;14;23;28;0;20;27;18;6;11;11;152
00SFIR24;Fire Elemental;16;204;19;4;30;37;57;14;23;28;0;22;29;18;6;11;11;152
00SFRGNT;Frost Giant;21;125;0;0;30;37;57;12;23;28;0;29;9;21;10;10;10;153
00SFSAL;Frost Salamander;15;45;0;0;30;37;68;12;23;28;0;14;13;12;14;15;13;161
00SGDND;Greater Drowned Dead;20;84;14;2;30;37;67;12;23;28;0;24;18;18;9;9;9;167
00SGFYR;Greater Feyr;24;128;15;4;30;37;88;15;23;28;0;16;19;15;14;18;3;255
00SGLB;Glabrezu;27;85;9;4;30;37;57;12;23;28;0;25;10;19;16;16;16;164
00SGMUM;Greater Mummy;18;84;9;1;30;37;59;12;23;28;0;20;12;18;9;14;12;167
00SGOBLN;Goblin;14;10;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
00SGRBGD;Greater Boneguard;18;52;12;2;30;37;57;14;23;28;0;20;16;18;9;9;9;115
00SGSPI;Giant Spider;16;35;7;1;30;37;57;12;23;28;0;18;18;16;4;4;9;116
00SGVPR;Giant Viper;14;55;5;2;30;37;57;12;23;28;0;14;22;14;3;12;3;255
00SGWWLF;Greater Werewolf;18;120;0;0;30;37;84;12;23;28;0;20;20;16;10;10;10;117
00SHKH;Hook Horror;15;45;0;0;30;37;57;12;23;28;0;18;16;15;9;9;9;181
00SINV;Invisible Stalker;13;64;6;2;30;37;57;14;23;28;0;18;19;14;14;15;11;152
00SLAIR;Lesser Air Elemental;13;60;10;0;30;37;57;14;23;28;0;14;25;16;6;11;11;152
00SLEAR;Lesser Earth Elemental;19;68;4;2;30;37;57;14;23;28;0;25;8;19;6;11;11;152
00SLFIRE;Lesser Fire Elemental;13;60;8;0;30;37;57;14;23;28;0;14;21;16;6;11;11;152
00SLMR;Lemure;13;16;2;2;30;37;57;12;23;28;0;10;10;10;3;11;5;164
00SLWAT;Lesser Water Elemental;18;68;6;0;30;37;57;14;23;28;0;18;14;19;6;11;11;152
00SMBER;Mountain Bear;11;76;3;2;30;37;57;12;23;28;0;27;13;19;3;12;6;103
00SMIN;Minotaur;12;40;0;0;30;37;57;12;23;28;0;19;10;15;7;10;8;179
00SMUM;Mummy;17;42;0;0;30;37;57;12;23;28;0;17;8;15;6;14;15;167
00SMUMK;Mummy King;20;100;15;2;30;37;57;12;23;28;0;20;18;16;9;9;9;167
00SOLBAS;Mercenary;0;60;0;0;27;47;63;114;21;27;0;17;14;16;10;10;10;1
00SORC;Orc;14;12;0;0;30;37;48;12;23;28;0;15;10;11;9;8;8;160
00SOTY;Otyugh;17;60;0;0;30;37;69;12;23;28;0;11;10;13;5;12;6;255
00SPBER;Polar Bear;14;76;5;2;30;37;57;12;23;28;0;27;13;19;3;12;6;103
00SPITFI;Gelugon;27;96;14;5;30;37;57;14;23;28;0;23;13;21;22;22;16;164
00SPNT;Panther;11;25;3;3;30;37;57;12;23;28;0;16;19;15;3;12;6;255
00SPOZMB;Poison Zombie;14;32;6;2;30;37;57;14;23;28;0;14;16;16;9;9;9;167
00SPSPI;Phase Spider;15;44;8;2;30;37;57;12;23;28;0;14;18;16;4;4;9;116
00SRABA;Red Abishai;18;36;6;4;30;37;57;12;23;28;0;17;17;17;12;14;16;164
00SREM;Remorhaz;19;120;0;0;30;37;57;12;23;28;0;26;13;21;5;12;10;255
00SRMYC;Red Myconid;10;42;0;0;30;37;57;12;23;28;0;18;16;15;10;12;10;159
00SS2304;;0;1;0;0;0;0;55;0;0;0;0;3;3;3;3;3;3;0
00SSAL;Salamander;17;56;0;0;30;37;70;12;23;28;0;14;13;12;14;15;13;161
00SSCG;Scrag;12;63;0;0;30;37;57;12;23;28;0;23;14;23;6;9;6;165
00SSCRN;Cornugon;25;20;15;3;30;37;57;12;23;28;0;21;12;17;14;14;14;164
00SSCYC;Cyclops;16;20;0;0;30;37;57;12;23;28;0;25;8;19;6;10;17;153
00SSDW12;Shadow;11;40;0;0;30;37;57;12;23;28;0;14;14;14;6;12;13;167
00SSDW15;Shadow;11;61;0;0;30;37;57;12;23;28;0;14;14;14;6;12;13;167
00SSDW19;Shadow;15;89;0;0;30;37;57;12;23;28;0;14;14;14;6;12;13;167
00SSDW21;Shadow;15;103;0;0;30;37;57;12;23;28;0;14;14;14;6;12;13;167
00SSDW9;Shadow;11;19;0;0;30;37;57;12;23;28;0;14;14;14;6;12;13;167
00SSFGNT;Frost Giant;21;25;0;0;30;37;57;12;23;28;0;29;9;21;10;10;10;153
00SSGLB;Glabrezu;24;21;9;4;30;37;57;12;23;28;0;25;10;19;16;16;16;164
00SSGWLF;Greater Werewolf;18;24;0;0;30;37;84;12;23;28;0;20;20;16;10;10;10;117
00SSHCRN;Cornugon;25;60;15;3;30;37;57;12;23;28;0;21;12;17;14;14;14;164
00SSHCYC;Cyclops;16;61;0;0;30;37;57;12;23;28;0;25;8;19;6;10;17;153
00SSHFGT;Frost Giant;21;79;0;0;30;37;57;12;23;28;0;29;9;21;10;10;10;153
00SSHGLB;Glabrezu;24;62;9;4;30;37;57;12;23;28;0;25;10;19;16;16;16;164
00SSHGWF;Greater Werewolf;18;72;0;0;30;37;84;12;23;28;0;20;20;16;10;10;10;117
00SSHHRP;Greater Feyr;24;76;15;4;30;37;88;15;23;28;0;16;19;15;14;18;3;255
00SSHM;Shambling Mound;18;96;0;0;30;37;57;14;23;28;0;21;10;17;7;10;9;152
00SSHRAB;Red Abishai;18;24;0;0;30;37;57;12;23;28;0;17;17;17;12;14;16;164
00SSHREM;Remorhaz;19;72;0;0;30;37;57;12;23;28;0;26;13;21;5;12;10;255
00SSHRP;Greater Feyr;24;25;15;4;30;37;88;15;23;28;0;16;19;15;14;18;3;255
00SSHSAL;Salamander;17;38;7;2;30;37;50;12;23;28;0;14;13;12;14;15;13;161
00SSHSCG;Scrag;12;38;0;0;30;37;57;12;23;28;0;23;14;23;6;9;6;165
00SSHUHK;Umber Hulk;16;40;0;0;30;37;80;12;23;28;0;23;13;19;9;11;13;166
00SSHYET;Yeti;17;44;9;2;30;37;71;12;23;28;0;20;12;16;8;10;11;189
00SSKL;Skeleton;13;24;3;1;30;37;57;14;23;28;0;12;15;15;9;9;9;115
00SSKLAR;Skeleton Archer;13;21;3;1;30;37;57;14;23;28;0;12;15;15;9;9;9;115
00SSLON;Spotted Lion;13;50;5;3;30;37;57;12;23;28;0;21;17;15;3;12;6;255
00SSNK;Snake;14;18;4;1;30;37;57;12;23;28;0;10;17;11;3;12;3;255
00SSPIDR;Spider;11;10;0;0;30;37;73;12;23;28;0;7;17;10;3;10;3;116
00SSRABA;Red Abishai;18;12;0;0;30;37;57;12;23;28;0;17;17;17;12;14;16;164
00SSREM;Remorhaz;19;24;0;0;30;37;57;12;23;28;0;26;13;21;5;12;10;255
00SSSAL;Salamander;17;10;7;2;30;37;50;12;23;28;0;14;13;12;14;15;13;161
00SSSCG;Scrag;12;12;0;0;30;37;57;12;23;28;0;23;14;23;6;9;6;165
00SSSPI;Sword Spider;17;45;8;4;30;37;69;12;23;28;0;14;18;16;4;4;9;116
00SSUHK;Umber Hulk;16;14;0;0;30;37;80;12;23;28;0;23;13;19;9;11;13;166
00SSYET;Yeti;17;11;9;2;30;37;71;12;23;28;0;20;12;16;8;10;11;189
00SUHK;Umber Hulk;16;68;0;0;30;37;80;12;23;28;0;23;13;19;9;11;13;166
00SVPR;Viper;15;36;5;1;30;37;57;12;23;28;0;10;19;13;3;12;3;255
00SVPRG;Viper;12;15;0;0;30;37;70;12;23;28;0;10;17;11;3;12;3;255
00SWAT04;Lesser Water Elemental;18;30;3;1;30;37;57;14;23;28;0;16;12;17;4;11;11;152
00SWAT12;Water Elemental;16;68;5;2;30;37;57;14;23;28;0;20;14;19;6;11;11;152
00SWAT16;Water Elemental;17;152;10;3;30;37;57;14;23;28;0;24;18;21;6;11;11;152
00SWAT20;Water Elemental;17;199;13;3;30;37;57;14;23;28;0;26;20;21;6;11;11;152
00SWAT24;Water Elemental;17;228;16;4;30;37;57;14;23;28;0;28;22;21;6;11;11;152
00SWLF;Wolf;12;19;2;1;30;37;57;12;23;28;0;13;15;15;3;12;6;117
00SWOLF;Wolf;12;13;0;0;30;37;62;12;23;28;0;13;15;15;3;12;6;117
00SWRG;Worg;12;55;6;2;30;37;57;12;23;28;0;21;14;17;6;14;10;117
00SWTWLF;Winter Wolf;14;62;5;1;30;37;57;12;23;28;0;18;13;16;9;13;10;117
00SWWLF;Werewolf;14;18;0;0;30;37;57;12;23;28;0;13;15;15;10;10;10;255
00SWYV;Wyvern;16;63;0;0;30;37;57;14;23;28;0;19;12;15;6;12;9;118
00SYETI;Yeti;17;56;0;0;30;37;57;12;23;28;0;18;16;15;9;12;10;189
00SZMB;Zombie;12;16;1;1;30;37;57;14;23;28;0;15;12;15;9;9;9;167
00SZMBL2;Greater Zombie Lord;20;90;16;2;30;37;57;14;23;28;0;20;16;18;9;9;9;167
00SZMBLO;Zombie Lord;18;60;14;2;30;37;57;14;23;28;0;16;15;18;9;9;9;167
00WELP;Young Barghest Whelp;14;35;5;2;30;37;51;12;23;28;0;16;15;13;14;14;14;164
00WORGBD;Worg;12;18;-2;0;30;37;64;12;23;28;0;17;15;15;6;14;10;117
00WORGRA;Goblin;14;20;0;0;0;91;29;20;29;21;7;8;13;11;10;11;8;155
00WORGRD;Goblin;14;20;0;0;0;91;29;20;29;21;7;8;13;11;10;11;9;155
10AENGS;Aengus Renton;10;8;0;0;30;37;57;12;23;28;0;9;9;9;9;9;9;1
10ARCHER;Archer;10;5;0;0;30;37;57;12;23;28;2;11;12;11;9;9;9;1
10BLACK;Black Geoffrey;10;28;0;0;30;75;66;13;21;28;0;18;16;16;11;13;10;1
10BLANC;Blanchard Pike;10;28;0;0;30;38;54;12;23;28;1;13;18;12;11;13;10;1
10BROGAN;Brogan;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
10CATF;Cat;10;3;0;0;30;33;58;9;22;64;75;11;18;11;11;11;11;255
10CATW;Cat;10;4;0;0;30;33;58;9;22;64;75;11;18;11;11;11;11;255
10CRANDA;Crandall;10;6;0;0;30;37;57;12;23;28;4;12;11;12;9;9;9;1
10DOCK1;Dockhand;10;6;0;0;30;38;42;13;23;28;6;11;12;12;9;10;9;1
10DOCK2;Dockhand;10;6;0;0;30;40;38;12;23;28;0;11;12;12;9;10;9;1
10DOP;Doppelganger;14;32;3;2;39;38;65;12;23;30;0;12;13;12;13;14;13;106
10ELDGUL;Eldgull;10;5;0;0;30;42;43;13;23;28;5;9;15;9;9;9;9;1
10FEM1;Townsperson;10;3;0;0;30;38;59;12;23;28;0;11;9;12;9;10;9;1
10FEM2;Townsperson;10;3;0;0;30;42;65;12;23;28;2;11;9;12;9;10;9;1
10FEM3;Townsperson;10;3;0;0;30;42;49;12;23;28;4;11;9;12;9;10;9;1
10FIRTH;Firtha Kerdos;10;2;0;0;30;42;63;10;22;64;79;11;11;11;11;11;11;1
10FIRTHH;Firtha Kerdos;10;2;0;0;30;42;63;10;22;64;79;11;11;11;11;11;11;1
10GOB;Goblin;11;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBAR;Goblin Archer;11;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBARC;Goblin Archer;11;5;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBARD;Goblin;11;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBARW;Goblin Archer;11;5;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBC;Goblin;12;5;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBD;Goblin;11;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBEC;Goblin Elite;14;7;0;0;30;37;58;12;23;28;0;10;13;12;10;11;9;155
10GOBF;Goblin;12;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBH;Goblin;12;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOBSC;Goblin Sapper;11;5;0;0;30;37;49;12;23;28;0;8;13;11;10;11;8;155
10GOBW;Goblin;12;4;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
10GOHAR;Gohar;10;30;0;0;30;52;95;12;91;65;0;17;12;12;6;9;9;1
10GUTHE;Guthewulfe Henghelm;10;60;0;0;30;33;58;9;22;64;75;18;16;18;11;11;11;1
10HEDRON;Hedron Kerdos;10;31;0;0;30;38;46;12;23;28;5;13;16;12;13;14;12;1
10HINT;Hint;10;2;0;1;30;42;63;10;22;64;79;11;11;11;11;11;11;1
10JON;Honest Jon;10;6;0;0;30;37;57;12;23;28;3;12;11;12;9;9;9;1
10JORUN;Jorun Tamewater;10;18;0;0;30;40;65;14;23;28;0;13;12;16;15;12;9;4
10KEG;Keg;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEG0;Killer Mimic;12;45;0;0;30;37;40;12;23;28;0;19;12;17;10;13;10;255
10KEG2;Keg;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEG2E;Keg;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEG3;Keg;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEG3E;Keg;0;8;0;1;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEG4;Super Keg!;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEG5;Grandaddy Killer Mimic;30;355;0;0;30;37;40;12;23;28;0;19;19;10;10;10;10;255
10KEG6;Keg;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KEGE;Keg;0;8;0;0;30;37;40;12;23;28;0;9;9;9;9;9;9;190
10KICKSH;Kickshaw;10;18;0;0;30;38;41;12;23;28;0;10;18;13;11;10;9;1
10KIDBOY;Annoying Child;10;2;0;0;30;37;37;12;23;28;1;8;12;8;8;8;8;1
10KIDGRL;Annoying Child;10;2;0;0;30;36;36;12;23;28;0;8;12;8;8;8;8;1
10LABOR1;Laborer;10;6;0;0;30;64;63;12;23;28;2;11;12;12;9;10;9;1
10LABOR2;Laborer;10;6;0;0;30;43;64;12;23;28;0;11;12;12;9;10;9;1
10MAGDR;Magdar Shenlen;10;27;0;0;30;22;62;12;22;64;0;17;12;15;13;12;12;1
10MALE1;Townsperson;10;5;0;0;30;37;59;12;23;28;0;11;9;12;9;10;9;1
10MALE2;Townsperson;10;5;0;0;30;37;64;12;23;28;2;11;9;12;9;10;9;1
10MALE3;Townsperson;10;5;0;0;30;39;61;12;23;28;3;11;9;12;9;10;9;1
10MALED;Townsperson;10;5;0;0;30;37;59;12;23;28;0;11;9;12;9;10;9;1
10MERC;Mercenary;10;6;0;0;30;47;46;12;23;28;0;12;11;12;9;9;9;1
10REIG;Reig Redwaters;10;6;0;0;30;37;57;12;23;28;2;12;11;10;9;9;9;1
10RUKWU;Rukwurm;14;12;0;0;30;37;58;12;23;28;0;13;13;12;10;11;9;155
10SAILR1;Sailor;10;6;0;0;30;38;64;12;23;28;0;11;12;12;9;10;9;1
10SAILR2;Sailor;10;6;0;0;30;43;63;12;23;28;3;11;12;12;9;10;9;1
10SAILRD;Sailor;10;6;0;0;30;37;63;12;23;28;0;11;12;12;9;10;9;1
10SCREED;Screed;10;6;0;0;30;37;36;12;23;28;0;12;12;9;9;9;9;1
10SOLDR1;Targos Soldier;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
10SOLDRD;Targos Soldier;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
10ULEK;Ulek the Burrower;14;12;1;1;30;37;58;12;23;28;0;13;13;12;10;11;9;155
11CAHLHY;Cahl-Hyred;10;25;0;0;30;39;48;12;23;28;0;13;10;16;11;13;10;1
11DEADG;Goblin;12;4;0;0;30;37;57;12;23;28;0;8;13;11;10;11;8;155
11DEADS;Targos Soldier;10;6;0;0;30;37;57;12;23;28;2;12;11;12;9;9;9;1
11DEAGLE;Deagle Elmwood;10;20;0;0;30;37;39;12;23;28;4;14;16;10;11;14;12;5
11DEIRD;Deirdre Gallaway;10;17;0;0;30;42;61;12;12;28;4;10;16;13;14;10;15;1
11DENHAM;Denham Fisher;10;77;0;0;30;37;57;12;23;28;0;13;10;15;17;16;12;1
11DOGL;Lazy Dog;14;6;0;0;30;37;57;12;23;28;0;13;13;13;3;12;6;255
11DOGS;Sleeping Dog;14;6;0;0;30;37;57;12;23;28;0;13;13;13;3;6;6;255
11ELYTHA;Elytharra;10;16;1;1;30;54;52;12;24;28;3;11;16;9;17;11;16;2
11GARRAD;Garradun Tanner;14;32;0;0;30;64;66;12;23;28;1;12;13;12;14;13;13;106
11GHILLE;Ghille-Laider;10;6;0;0;30;37;57;12;23;28;4;12;11;12;9;9;9;1
11GOB;Goblin;12;5;0;0;30;37;51;12;23;28;0;8;13;11;10;11;8;155
11GOBS;Goblin Sapper;12;5;0;0;30;37;49;12;23;28;0;8;13;11;10;11;8;155
11JEMEL;Jemeliah;10;6;0;0;30;64;63;13;23;28;5;11;12;12;9;10;9;1
11KOLUHM;Koluhm Bonecutter;10;32;0;0;30;29;63;13;23;28;5;16;16;15;10;12;12;1
11LOMAN;Loman;10;6;0;0;30;64;63;12;23;28;2;11;12;12;9;10;9;1
11LUMBAR;Lumbar Grundwall;10;12;0;0;30;39;61;12;23;28;0;15;8;13;11;9;9;1
11MAXIEL;Maxiel of Silverymoon;10;32;0;0;30;53;97;12;23;28;110;15;12;11;11;16;13;3
11OSWALD;Oswald Fiddlebender;10;30;0;0;30;50;46;10;23;28;5;8;16;10;18;9;9;6
11PHAEN;Phaen of the Rags;10;18;0;0;30;54;52;12;24;28;3;11;16;12;17;11;16;1
11RAGNIB;Ragni Bellows;10;97;0;0;30;47;46;12;23;33;0;16;12;16;10;16;12;1
11RHAEK;Rhaekbog;14;12;0;0;30;37;58;12;23;28;0;13;13;12;10;11;9;155
11ULBREC;Ulbrec Dinnsmore;10;81;0;0;30;38;66;12;21;30;6;14;10;15;16;13;16;1
11URBEKS;Urbek Stonefoe;10;50;0;0;30;50;47;12;23;28;0;18;11;16;11;8;10;4
11VALIN;Valin Geldencross;10;16;0;0;30;54;52;12;24;28;3;11;16;9;17;11;16;1
11VEIRA;Veira;30;3200;0;0;30;63;63;12;23;28;0;12;16;11;9;9;9;1
